hour;minute;tweets;related;rainfall class;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class;Predicted next batch rainfall class
20;30;1;0;0.0;0.8695652173913043;1.0;0.045454545454545456;0.0;0.0;0;0
10;30;2;0;0.0;0.43478260869565216;1.0;0.09090909090909091;0.0;0.0;0;0
22;0;2;0;0.0;0.9565217391304348;0.0;0.09090909090909091;0.0;0.0;0;0
23;0;2;0;0.0;1.0;0.0;0.09090909090909091;0.0;0.0;0;0
22;30;6;0;0.0;0.9565217391304348;1.0;0.2727272727272727;0.0;0.0;0;0
13;0;4;0;0.0;0.5652173913043478;0.0;0.18181818181818182;0.0;0.0;0;0
15;30;5;0;0.0;0.6521739130434783;1.0;0.22727272727272727;0.0;0.0;0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.045454545454545456;0.0;0.0;0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0;0
15;30;1;0;0.0;0.6521739130434783;1.0;0.045454545454545456;0.0;0.0;0;0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0;0
23;30;2;0;0.0;1.0;1.0;0.09090909090909091;0.0;0.0;0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0;0
14;0;2;0;0.0;0.6086956521739131;0.0;0.09090909090909091;0.0;0.0;0;0
11;0;10;1;0.0;0.4782608695652174;0.0;0.45454545454545453;0.5;0.0;0;0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0;0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0;0
2;30;2;0;0.0;0.08695652173913043;1.0;0.09090909090909091;0.0;0.0;0;0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0;0
13;30;5;0;0.0;0.5652173913043478;1.0;0.22727272727272727;0.0;0.0;0;0
9;0;1;0;0.0;0.391304347826087;0.0;0.045454545454545456;0.0;0.0;0;0
9;30;3;0;0.0;0.391304347826087;1.0;0.13636363636363635;0.0;0.0;0;0
21;0;2;0;0.0;0.9130434782608695;0.0;0.09090909090909091;0.0;0.0;0;0
2;30;4;0;0.0;0.08695652173913043;1.0;0.18181818181818182;0.0;0.0;0;0
6;0;1;0;0.0;0.2608695652173913;0.0;0.045454545454545456;0.0;0.0;0;0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0;0
12;0;4;0;0.2;0.5217391304347826;0.0;0.18181818181818182;0.0;0.024813895781637715;0;0
13;0;4;0;0.0;0.5652173913043478;0.0;0.18181818181818182;0.0;0.0;0;0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0;0
12;30;5;0;0.0;0.5217391304347826;1.0;0.22727272727272727;0.0;0.0;0;0
12;0;1;0;0.0;0.5217391304347826;0.0;0.045454545454545456;0.0;0.0;0;0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0;0
18;30;4;0;0.0;0.782608695652174;1.0;0.18181818181818182;0.0;0.0;0;0
10;30;1;0;0.0;0.43478260869565216;1.0;0.045454545454545456;0.0;0.0;0;0
0;0;11;0;0.0;0.0;0.0;0.5;0.0;0.0;0;0
16;30;1;0;0.0;0.6956521739130435;1.0;0.045454545454545456;0.0;0.0;0;0
14;30;5;0;0.0;0.6086956521739131;1.0;0.22727272727272727;0.0;0.0;0;0
12;0;1;0;0.0;0.5217391304347826;0.0;0.045454545454545456;0.0;0.0;0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0;0
11;0;1;0;0.2;0.4782608695652174;0.0;0.045454545454545456;0.0;0.024813895781637715;0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0;0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0;0
19;0;6;0;0.0;0.8260869565217391;0.0;0.2727272727272727;0.0;0.0;0;0
0;0;1;0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0;0
0;30;2;0;0.2;0.0;1.0;0.09090909090909091;0.0;0.024813895781637715;0;0
8;0;3;0;0.0;0.34782608695652173;0.0;0.13636363636363635;0.0;0.0;0;0
8;30;1;0;0.0;0.34782608695652173;1.0;0.045454545454545456;0.0;0.0;0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.045454545454545456;0.0;0.0;0;0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0;0
23;0;2;0;0.2;1.0;0.0;0.09090909090909091;0.0;0.024813895781637715;0;0
