hour;minute;tweets;related;rainfall class;precision;recall;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Normalized precision;Normalized recall;Next batch rainfall class;Predicted next batch rainfall class
15;30;1;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
11;0;2;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
6;30;1;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
20;0;6;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0;0
0;30;16;0;0.0;0.0;0.0;0.0;1.0;0.41025641025641024;0.0;0.0;0.0;0.0;0;0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0;0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0;0
19;0;6;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0;0
1;0;2;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
7;0;1;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0;0
6;30;7;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.1794871794871795;0.0;0.0;0.0;0.0;0;0
22;30;2;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
19;30;3;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
21;0;4;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
22;30;5;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
8;0;2;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
10;30;6;0;0.4;0.0;0.0;0.43478260869565216;1.0;0.15384615384615385;0.0;0.009629272989889264;0.0;0.0;0;0
9;0;4;0;0.0;0.0;0.0;0.391304347826087;0.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0;0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0;0
1;0;13;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0;0
13;0;1;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
23;30;5;0;0.2;0.0;0.0;1.0;1.0;0.1282051282051282;0.0;0.004814636494944632;0.0;0.0;0;0
19;30;5;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
11;0;0;0;0.2;0.0;0.0;0.4782608695652174;0.0;0.0;0.0;0.004814636494944632;0.0;0.0;0;0
8;30;0;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0;0.0;0;0
7;0;2;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
13;0;2;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
0;0;7;0;0.0;0.0;0.0;0.0;0.0;0.1794871794871795;0.0;0.0;0.0;0.0;0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0;0
13;30;4;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
13;30;4;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0;0
7;30;1;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
19;0;1;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
22;0;0;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.0;0;0
14;0;1;0;0.2;0.0;0.0;0.6086956521739131;0.0;0.02564102564102564;0.0;0.004814636494944632;0.0;0.0;0;0
17;30;4;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0;0
10;0;9;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0;0
19;30;2;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
18;30;5;0;0.0;0.0;0.0;0.782608695652174;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
2;0;0;0;0.2;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.004814636494944632;0.0;0.0;0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0;0
20;30;5;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
22;30;2;0;0.4;0.0;0.0;0.9565217391304348;1.0;0.05128205128205128;0.0;0.009629272989889264;0.0;0.0;0;0
10;30;3;0;0.4;0.0;0.0;0.43478260869565216;1.0;0.07692307692307693;0.0;0.009629272989889264;0.0;0.0;0;0
20;0;1;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
18;30;2;0;0.0;0.0;0.0;0.782608695652174;1.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
16;30;4;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
9;0;2;0;0.0;0.0;0.0;0.391304347826087;0.0;0.05128205128205128;0.0;0.0;0.0;0.0;0;0
1;0;1;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
9;30;0;0;0.0;0.0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0;0.0;0;0
7;30;0;0;0.59;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.014203177660086663;0.0;0.0;0;0
3;0;1;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
11;0;4;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
23;0;3;0;0.0;0.0;0.0;1.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
10;30;2;0;0.2;0.0;0.0;0.43478260869565216;1.0;0.05128205128205128;0.0;0.004814636494944632;0.0;0.0;0;0
10;30;6;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.15384615384615385;0.0;0.0;0.0;0.0;0;0
3;0;0;0;0.39;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.009388541165142032;0.0;0.0;0;0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0;0
14;30;1;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
19;0;3;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
20;0;5;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
6;0;1;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
8;0;6;0;0.4;0.0;0.0;0.34782608695652173;0.0;0.15384615384615385;0.0;0.009629272989889264;0.0;0.0;0;0
21;0;4;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
3;0;0;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0.0;0;0
16;30;7;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.1794871794871795;0.0;0.0;0.0;0.0;0;0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0;0
21;30;3;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0;0
21;0;0;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0;0.0;0;0
1;0;3;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
13;30;4;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.10256410256410256;0.0;0.0;0.0;0.0;0;0
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0
15;30;5;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
22;30;5;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.1282051282051282;0.0;0.0;0.0;0.0;0;0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0;0
7;0;1;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0;0
12;30;1;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
17;30;3;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.07692307692307693;0.0;0.0;0.0;0.0;0;0
21;30;6;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.15384615384615385;0.0;0.0;0.0;0.0;0;0
0;30;1;0;0.0;0.0;0.0;0.0;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
23;30;1;0;0.0;0.0;0.0;1.0;1.0;0.02564102564102564;0.0;0.0;0.0;0.0;0;0
22;0;13;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0;0
